id;receive_date;response_date;operator_response
1;2020-07-27T10:26:23;2020-07-26T20:11:02;IGNORE
2;2020-07-26T18:37:32;2020-07-27T02:52:50;IGNORE
3;2020-07-26T22:51:31;2020-07-27T09:58:00;REJECT
4;2020-07-26T19:01:34;2020-07-26T12:54:16;ACCEPT
5;2020-07-26T19:08:24;2020-07-26T12:19:58;ACCEPT
6;2020-07-27T01:06:14;2020-07-27T00:10:52;ACCEPT
7;2020-07-26T22:55:22;2020-07-27T00:28:50;IGNORE
8;2020-07-27T10:16:14;2020-07-27T07:24:09;IGNORE
9;2020-07-26T17:34:58;2020-07-26T18:25:02;ACCEPT
10;2020-07-27T05:31:16;2020-07-27T09:38:17;REJECT
