id;start_date;end_date;status;device_id;operator_id
1;2020-07-18T21:04:00;2020-07-18T20:42:20;ACTIVE;1;1
2;2020-07-19T15:19:34;2020-07-19T18:54:21;ACTIVE;2;2
3;2020-07-19T08:39:19;2020-07-19T02:19:14;ACTIVE;3;3
4;2020-07-19T02:42:13;2020-07-19T17:37:25;ENDED;4;4
5;2020-07-19T04:08:44;2020-07-19T12:33:20;ACTIVE;5;5
6;2020-07-19T08:10:34;2020-07-19T13:36:01;ENDED;6;6
7;2020-07-19T03:41:43;2020-07-19T18:22:47;ACTIVE;7;7
8;2020-07-19T03:58:50;2020-07-19T19:22:44;ENDED;8;8
9;2020-07-18T22:50:31;2020-07-19T10:29:00;ENDED;9;9
10;2020-07-19T18:29:00;2020-07-19T15:03:42;ACTIVE;10;10
